source;target;kind;labels;motivation;I;TTD;criticality
Decide OPBW workload distribution;Customer Allocation Management Algorithm;functional;Logic;The Customer Allocation Management Algorithm calculates the workload distribution;4;3;8.5
Decide OPBW workload distribution;Real-Time Database;functional;Data Read,Data Write;The Customer Allocation Management Algorithm uses the data from the Database and adds the calculated workload distribution to the Database;3;4;9
Print WMS sticker;Florisoft;functional;Data Transfer,Task;Florisoft tells the Nicelabel Server to print the WMS stickers and supplies the information that should be on them;4;4;10
Print WMS sticker;Nicelabel Server;functional;Task;Nicelabel Server tells Label Printer to print the WMS stickers;4;4;10
Scan WMS sticker;SF-RCVG;functional;Notification,Visualisation;SF-RCVG  notifies the Host Communicator that the WMS sticker has been scanned and shows that the WMS Sticker is scanned on the SF-RCVG Screen;3;3;7.5
Scan WMS sticker;Actemium Data Notifier;functional;Notification;SF-RCVG sends the data notification "PartijScannedInWMS" to the Host Communicator via the Data Notifier;2;4;8
Scan WMS sticker;Host Communicator;functional;Notification;Host Communicator receives the notification from SF-RCVG via the Data Notifier;2;4;8
Check in LE in VK to WMS system;SF-RCVG;functional;Data Transfer,Visualisation;SF-RCVG receives the data from the WMS sticker that the Scanner scans and shows on the SF-RCVG Screen that the LE has been checked in;3;3;7.5
Check in LE in VK to WMS system;Real-Time Database;functional;Data Write;Received data from SF-RCVG is added to the Database;3;2;6
Print OK/BK sticker;SF-RCVG;functional;Data Transfer,Task;SF-RCVG tells the Nicelabel Server to print the OK/BK stickers and supplies the information that should be on them;4;4;10
Print OK/BK sticker;Real-Time Database;functional;Data Read;The information that sould be on the OK/BK stickers is taken from the Database;4;4;10
Print OK/BK sticker;Nicelabel Server;functional;Task;Nicelabel Server tells Label Printer to print the OK/BK stickers;4;4;10
Check-in of OK at OPBW;SF-OPBW;functional;Data Transfer,Visualisation;SF-OPBW sends location of checked-in OK from Scanner to Database and shows on the SF-RCVG Screen what location at the OPBW station the OK is checked into;3;3;7.5
Check-in of OK at OPBW;Real-Time Database;functional;Data Write;Database receives location of checked-in OK;3;3;7.5
Move KK from STOR to OPBW queue;Real-Time Database;functional;Data Read,Data Write;Locations of LEs, OKs and KKs is taken from the Database to create the job and Job Watcher updates the location of the Lowpad and the KK in the Database;4;4;10
Move KK from STOR to OPBW queue;Job Creator;functional;Logic,Data Transfer,Task;Job Creator creates the job based on the information from the Database;4;4;10
Move KK from STOR to OPBW queue;Job Dispatcher;functional;Logic,Data Transfer,Task;Job Dispatcher dispatches the job created by the Job Creator to a Lowpad based on available information of Lowpads;4;4;10
Move KK from STOR to OPBW queue;Actemium Lowpad Communicator;functional;Data Transfer,Task;Lowpad Communicator communicates the Job to the Fleet Manager and communicates the Job's progress from the Fleet Manager to the Job Watcher;4;4;10
Move KK from STOR to OPBW queue;Fleet Manager;functional;Data Transfer,Task;Fleet Manager communicates the task to the Lowpad and receives the progress from the Lowpad;4;4;10
Move KK from STOR to OPBW queue;Job Watcher;functional;Data Transfer,Notification;Job Watcher receives the progress of the task and sends data notifications "CraneJobCompleted", "CraneJobSend" and "CraneJobStatusUpdated" to update the system on the progress of the job;4;3;8.5
Move KK from STOR to OPBW queue;Actemium Data Notifier;functional;Notification;Data Notifier sends the data notifications with updates on the job to the system;4;3;8.5
Move KK from STOR to OPBW queue;SF-OPBW;functional;Notification,Visualisation;SF-OPBW receives the data notifications with updates on the job and notifies the Operator that a KK is coming to the OPBW station through the SF-OPBW Screen;4;3;8.5
Move first KK from queue to OPBW;Job Watcher;functional;Data Transfer,Notification;Job Watcher keeps track of the job, which is a continuation of the job that sent a Lowpad to the OPBW queue, and keeps the system updated on the progress of the job using data notifications;4;4;10
Move first KK from queue to OPBW;Actemium Lowpad Communicator;functional;Data Transfer,Task;Lowpad Communicator communicates the Job to the Fleet Manager and communicates the Job's progress from the Fleet Manager to the Job Watcher;4;4;10
Move first KK from queue to OPBW;Fleet Manager;functional;Data Transfer,Task;Fleet Manager communicates the task to the Lowpad and receives the progress from the Lowpad;3;3;7.5
Move first KK from queue to OPBW;Actemium Data Notifier;functional;Notification;Data Notifier sends the data notifications with updates on the job to the system;3;3;7.5
Move first KK from queue to OPBW;SF-OPBW;functional;Notification,Visualisation;SF-OPBW receives the data notifications with updates on the job and notifies the Operator that a KK is going to the active position at the OPBW station through the SF-OPBW Screen;3;4;9
Move first KK from queue to OPBW;Real-Time Database;functional;Data Write;Job Watcher updates the location of the Lowpad and the KK in the Database;3;3;7.5
Receive sorting instructions;SF-OPBW;functional;Data Transfer,Visualisation;SF-OPBW takes the sorting instructions from the Database to display on the SF-OPBW Screen;4;4;10
Receive sorting instructions;Real-Time Database;functional;Data Read;The sorting instructios are taken from the Database;4;4;10
Scan LE in OK;SF-OPBW;functional;Data Transfer,Visualisation;Scanner sends the scanned data to the SF-OPBW client, which displays what has been scanned and how many of it should be moved to the KK;3;4;9
Scan KK to confirm;SF-OPBW;functional;Data Transfer,Visualisation;Scanner sends the scanned data to the SF-OPBW client, which updates the displayed sorting instructions;4;3;8.5
Scan KK to confirm;Real-Time Database;functional;Data Write;The scanned item is updated to being added to the KK in the Database;3;3;7.5
Determine KK done at SF-OPBW;SF-OPBW;functional;Data Transfer,Notification;The Operator scans the "Afmelden KK" barcode, after which the SF-OPBW client sends the data notification "KKReleased" via the Data Notifier;3;3;7.5
Determine KK done at SF-OPBW;Actemium Data Notifier;functional;Notification;Data Notifier sends the "KKReleased" data notification to the Job Creator;3;3;7.5
Determine KK done at SF-OPBW;Job Creator;functional;Logic,Data Transfer,Task,Notification;Job Creator receives the "KKReleased" data notification and creates a job for the Lowpad at the active position of the OPBW station to move away;3;3;7.5
Determine KK done at SF-OPBW;Job Dispatcher;functional;Logic,Data Transfer,Task;Job Dispatcher dispatches the job created by the Job Creator to the Lowpad at the active position of the OPBW station;4;4;10
Determine KK done at SF-OPBW;Actemium Lowpad Communicator;functional;Data Transfer,Task;Lowpad Communicator communicates the Job to the Fleet Manager and communicates the Job's progress from the Fleet Manager to the Job Watcher;4;4;10
Determine KK done at SF-OPBW;Fleet Manager;functional;Data Transfer,Task;Fleet Manager communicates the task to the Lowpad and receives the progress from the Lowpad;3;3;7.5
Determine KK done at SF-OPBW;Job Watcher;functional;Data Transfer;Job Watcher keeps track of the job and updates the location of the relevant Lowpad in the Database;4;3;8.5
Determine KK done at SF-OPBW;Real-Time Database;functional;Data Write;Location of the relevant Lowpad and KK is updated in the Database;3;2;6
Determine KK ready by KK is ready algorithm;KK is Ready Algorithm;functional;Logic;KK is Ready Algorithm calculates if the KK released from the OPBW station is ready to go to EXCH;3;2;6
Determine KK ready by KK is ready algorithm;Real-Time Database;functional;Data Read,Data Write;Client order, KK layout and current LEs on the KK are used from the Database and conclusion on readiness of the KK is added to the Database;2;2;5
Determine KK unready by KK is ready algorithm;KK is Ready Algorithm;functional;Logic;KK is Ready Algorithm calculates if the KK released from the OPBW station is ready to go to EXCH;3;2;6
Determine KK unready by KK is ready algorithm;Real-Time Database;functional;Data Read,Data Write;Client order, KK layout and current LEs on the KK are used from the Database and conclusion on readiness of the KK is added to the Database;4;4;10
Move (un)finished KK to STOR;Real-Time Database;functional;Data Read,Data Write;The KK being unready is taken from the Database and the location of the Lowpad and the KK is updated in the Database after they have moved;3;3;7.5
Move (un)finished KK to STOR;Job Creator;functional;Logic,Data Transfer,Task;Job Creator creates the job to move the Lowpad to STOR based on the KK's unready status;3;2;6
Move (un)finished KK to STOR;Job Dispatcher;functional;Logic,Data Transfer,Task;Job Dispatcher dispatches the job to the Lowpad that has to move to STOR;3;2;6
Move (un)finished KK to STOR;Actemium Lowpad Communicator;functional;Data Transfer,Task;Lowpad Communicator communicates the Job to the Fleet Manager and communicates the Job's progress from the Fleet Manager to the Job Watcher;4;4;10
Move (un)finished KK to STOR;Fleet Manager;functional;Data Transfer,Task;Fleet Manager communicates the task to the Lowpad and receives the progress from the Lowpad;3;1;4.5
Move (un)finished KK to STOR;Job Watcher;functional;Data Transfer;Job Watcher keeps track of the job and updates the location of the relevant Lowpad and KK in the Database;3;1;4.5
Check-out of OK at OPBW;SF-OPBW;functional;Data Transfer,Visualisation;SF-OPBW tells Database that the OK has been checked out of the OPBW station and shows confirmation of check-out on the OPBW Screen;3;1;4.5
Check-out of OK at OPBW;Real-Time Database;functional;Data Write;Database receives data of checked-out OK;3;3;7.5
Move finished KK to EXCH;Real-Time Database;functional;Data Read,Data Write;The KK being ready is taken from the Database and the location of the Lowpad and the KK is updated in the Database after they have moved;3;2;6
Move finished KK to EXCH;Job Creator;functional;Logic,Data Transfer,Task;Job Creator creates the job to move the Lowpad to EXCH based on the KK's ready status;3;2;6
Move finished KK to EXCH;Job Dispatcher;functional;Logic,Data Transfer,Task;Job Dispatcher dispatches the job to the Lowpad that has to move to EXCH;2;4;8
Move finished KK to EXCH;Actemium Lowpad Communicator;functional;Data Transfer,Task;Lowpad Communicator communicates the Job to the Fleet Manager and communicates the Job's progress from the Fleet Manager to the Job Watcher;2;2;5
Move finished KK to EXCH;Fleet Manager;functional;Data Transfer,Task;Fleet Manager communicates the task to the Lowpad and receives the progress from the Lowpad;1;2;4
Move finished KK to EXCH;Job Watcher;functional;Data Transfer;Job Watcher keeps track of the job and updates the location of the relevant Lowpad and KK in the Database;1;1;2.5
Decouple finished KK;Fleet Manager;functional;Data Transfer;Fleet Manager communicates that Lowpad has finished the task;2;2;5
Decouple finished KK;Actemium Lowpad Communicator;functional;Data Transfer;Lowpad communicator communicates finished task to the Job Watcher;1;2;4
Decouple finished KK;Job Watcher;functional;Data Transfer;Job Watcher communicates finished task to the system;1;2;4
Decouple finished KK;Host Communicator;functional;Data Transfer;Host Communicator receives finished task data and sends it to Florisoft;1;2;4
Decouple finished KK;Florisoft;functional;Data Transfer;Florisoft receives finished KK data;2;3;6.5
Decouple finished KK;Real-Time Database;functional;Data Write;Database updates KK's location to [EXT.OUT];2;2;5
Decouple finished KK;Historical Database;functional;Data Write;KK is removed from Real-Time Database and moved to historical one;1;1;2.5
Scan incoming KK to check it in;Mobile Screens;functional;Data Transfer;The "Empty container to infeed" function on the Mobile Client is used to check in a KK;3;3;7.5
Scan incoming KK to check it in;WMS/WCS API & BarcodeHandler API;functional;Data Transfer;Mobile Client communicates checked-in KK data via Mobile API;3;3;7.5
Scan incoming KK to check it in;Real-Time Database;functional;Data Write;The database receives the data of the checked-in KK;2;2;5
Scan incoming KK to check it in;Host Communicator;functional;Data Transfer;The checked-in KK data is sent to the Host Communicator to check it into Florisoft;2;2;5
Scan incoming KK to check it in;Florisoft;functional;Data Transfer;The Host Communicator communicates the checked-in KK data to Florisoft;2;2;5
Move checked-in KKs to STOR;Job Creator;functional;Logic,Data Transfer,Task;The checked-in KK data is sent to the Job Creator, which creates a job to move the KK to STOR;3;3;7.5
Move checked-in KKs to STOR;Job Dispatcher;functional;Logic,Data Transfer,Task;Job Dispatcher dispatches the job created by the Job Creator to a Lowpad based on available information of Lowpads;3;3;7.5
Move checked-in KKs to STOR;Actemium Lowpad Communicator;functional;Data Transfer,Task;Lowpad Communicator communicates the Job to the Fleet Manager and communicates the Job's progress from the Fleet Manager to the Job Watcher;3;3;7.5
Move checked-in KKs to STOR;Fleet Manager;functional;Data Transfer,Task;Fleet Manager communicates the task to the Lowpad and receives the progress from the Lowpad;2;3;6.5
Move checked-in KKs to STOR;Job Watcher;functional;Data Transfer;Job Watcher keeps track of the job and updates the location of the relevant Lowpad and KK in the Database;3;3;7.5
Move checked-in KKs to STOR;Real-Time Database;functional;Data Write;When task is done, Job watcher updates the location of the KK and the Lowpad in the Database;3;3;7.5
"Indikken" of OKs;SF-OPBW;functional;Data Transfer,Visualisation;SF-OPBW updates location of LE in Database and shows confirmation that LE has been moved on the SF-OPBW Screen;1;2;4
"Indikken" of OKs;Real-Time Database;functional;Data Write;Location of LE is updated in the Database;1;2;4
Adding LEs to a new KK when KK has insufficient space;SF-OPBW;functional;Data Transfer,Visualisation;SF-OPBW sends request for new KK to the system and tells operator that new KK is coming via the SF-OPBW Screen;1;2;4
Adding LEs to a new KK when KK has insufficient space;Customer Allocation Management Algorithm;functional;Logic,Data Transfer;Customer Allocation Management Algorithm calculates which KK will be assigned to the order and sent to the OPBW station;1;2;4
Adding LEs to a new KK when KK has insufficient space;Real-Time Database;functional;Data Write;The database is updated: the KK is assigned to the order;1;2;4
Florisoft;Host Communicator;functional;Data Transfer;Communication between the WMS and Florisoft is done through the Host Communicator;3;3;7.5
Host Communicator;Real-Time Database;functional;Data Write;Host Communicator writes the Florisoft data to the Database;4;4;10
Real-Time Database;SF-RCVG;functional;Data Read;SF-RCVG receives client orders, KK layouts and OK/BK sticker data from the Database;3;3;7.5
Host Communicator;Actemium Data Notifier;functional;Notification;Host Communicator send the data notification "OrderProcessed" to the Customer Allocation Management Algorithm via the Data Notifier;2;3;6.5
Actemium Data Notifier;Customer Allocation Management Algorithm;functional;Notification;Data Notifier sends data notification "OrderProcessed" to the Customer Allocation Management Algorithm;2;3;6.5
Real-Time Database;Customer Allocation Management Algorithm;functional;Data Read;The Customer Allocation Management Algorithm uses the data from the Database;3;2;6
Customer Allocation Management Algorithm;Real-Time Database;functional;Data Write;The Customer Allocation Management Algorithm adds the calculated workload distribution to the Database;3;2;6
Florisoft;Nicelabel Server;functional;Data Transfer,Task;Florisoft sends the information that should be on the WMS stickers to the Nicelabel Server;3;3;7.5
SF-RCVG;Actemium Data Notifier;functional;Notification;SF-RCVG  notifies the Host Communicator that the WMS sticker has been scanned via the Data Notifier;1;3;5.5
Actemium Data Notifier;Host Communicator;functional;Notification;Host Communicator receives the notification from SF-RCVG via the Data Notifier;1;3;5.5
SF-RCVG;Real-Time Database;functional;Data Write;SF-RCVG adds LEs to the Database after the WMS sticker is scanned;3;3;7.5
SF-RCVG;Nicelabel Server;functional;Data Transfer,Task;SF-RCVG tells Nicelabel Server what to print on the OK/BK stickers;3;3;7.5
SF-OPBW;Real-Time Database;functional;Data Write;SF-OPBW sends location of checked-in OK from Scanner to Database, updates the location of LEs added to a KK in the Database and tells the Database when an OK has been checked out;3;3;7.5
Real-Time Database;Job Creator;functional;Data Read;Job Creator uses data from the Database to create jobs;4;3;8.5
Job Creator;Job Dispatcher;functional;Data Transfer,Task;Job Creator sends the created jobs to the Job Dispatcher;4;2;7
Job Dispatcher;Actemium Lowpad Communicator;functional;Data Transfer,Task;Job Dispatcher dispatches the job via the Lowpad Communicator;4;3;8.5
Actemium Lowpad Communicator;Fleet Manager;functional;Data Transfer,Task;Lowpad Communicator communicates the job to the Fleet Manager;4;4;10
Fleet Manager;Actemium Lowpad Communicator;functional;Data Transfer;Fleet Manager updates the Job Watcher on the job's progress via the Lowpad Communicator;2;3;6.5
Actemium Lowpad Communicator;Job Watcher;functional;Data Transfer;Lowpad Communicator communicates the job's progress to the Job Watcher;2;3;6.5
Job Watcher;Real-Time Database;functional;Data Write;Job Watcher updates the locations of Lowpads and KKs in the Database;3;2;6
Job Watcher;Actemium Data Notifier;functional;Notification;Job Watcher sends data notifications "CraneJobCompleted", "CraneJobSend" and "CraneJobStatusUpdated" to update SF-OPBW about an incoming Lowpad via the Data Notifier;2;3;6.5
Actemium Data Notifier;SF-OPBW;functional;Notification;Data Notifier sends the data notifications sent by Job Watcher to SF-OPBW;2;3;6.5
Real-Time Database;SF-OPBW;functional;Data Read;SF-OPBW takes the sorting instructions from the Database;3;3;7.5
SF-OPBW;Actemium Data Notifier;functional;Notification;SF-OPBW sends the data notification "KKReleased" to the Job Creator via the Data Notifier;1;3;5.5
Actemium Data Notifier;Job Creator;functional;Notification;Data Notifier sends the data notification "KKReleased" to the Job Creator;2;3;6.5
Real-Time Database;KK is Ready Algorithm;functional;Data Read;KK is Ready Algorithm uses data of client order, KK layout and current LEs on the KK from the Database;2;1;3.5
KK is Ready Algorithm;Real-Time Database;functional;Data Write;KK is Ready Algorithm adds conclusion on readiness of the KK to the Database;2;1;3.5
Host Communicator;Florisoft;functional;Data Transfer;Communication between the WMS and Florisoft is done through the Host Communicator;3;3;7.5
Real-Time Database;Historical Database;functional;Data Write;KK is removed from Real-Time Database and moved to historical one;1;1;2.5
Mobile Screens;WMS/WCS API & BarcodeHandler API;functional;Data Transfer;Mobile Client communicates via Mobile API;2;1;3.5
WMS/WCS API & BarcodeHandler API;Real-Time Database;functional;Data Write;The database receives the data from the Mobile API;2;2;5
SF-OPBW;Customer Allocation Management Algorithm;functional;Data Transfer;SF-OPBW sends request for new KK to the Algorithm when a KK has insufficient space;3;2;6
Lowpads (robots);KK (OutputCart);functional;Movement;Lowpads pick up, move and drop KKs;4;4;10
KK (OutputCart);OPBW Sorting Positions;functional;Alignment;KKs take up space at OPBW;1;1;2.5
KK (OutputCart);EXCH (Output Positions / Checking System);functional;Alignment;KKs take up space at EXCH;1;1;2.5
VK (InputCart);RCVG (Input Positions);functional;Alignment;VKs take up space at RCVG;1;1;2.5
OK (StorageCart);RCVG (Input Positions);functional;Alignment;OKs take up space at RCVG;1;1;2.5
OK (StorageCart);OPBW Sorting Positions;functional;Alignment;OKs take up space at OPBW;1;1;2.5
LE (Logistical Units BK/BG/OK/KoV);KK (OutputCart);functional;Storage;LEs are stored on KK;3;4;9
LE (Logistical Units BK/BG/OK/KoV);VK (InputCart);functional;Storage;LEs are stored on VK;1;2;4
LE (Logistical Units BK/BG/OK/KoV);OK (StorageCart);functional;Storage;LEs are stored on OK;2;1;3.5
KK (OutputCart);LE (Logistical Units BK/BG/OK/KoV);functional;Storage;KKs contain LEs;4;4;10
Sorting employee;LE (Logistical Units BK/BG/OK/KoV);functional;Movement;Sorting employee moves LEs from and to different carts;4;3;8.5
VK (InputCart);LE (Logistical Units BK/BG/OK/KoV);functional;Storage;VKs contain LEs;3;3;7.5
OK (StorageCart);LE (Logistical Units BK/BG/OK/KoV);functional;Storage;OKs contain LEs;3;3;7.5
Label Printer (RCVG);RCVG (Input Positions);functional;Position;Label printer is used to print labels at RCVG;4;4;10
FingerScanner (RCVG);RCVG (Input Positions);functional;Position;FingerScanner is used to scan stickers at RCVG;4;4;10
SF-RCVG Screen;RCVG (Input Positions);functional;Position;RCVG Screen is used to display instructions at RCVG;3;3;7.5
OPBW queue;OPBW Sorting Positions;functional;Position;OPBW queue is present at OPBW;1;1;2.5
SF-OPBW Screen;OPBW Sorting Positions;functional;Position;SF-OPBW Screen is used to display instructions at OPBW;3;3;7.5
Label Printer (OPBW);OPBW Sorting Positions;functional;Position;Label Printer is used to print labels at OPBW;4;4;10
FingerScanner (OPBW);OPBW Sorting Positions;functional;Position;FingerScanner is used to scan stickers at OPBW;4;4;10
Sorting employee;FingerScanner (RCVG);functional;Scanning;Sorting employee scans stickers with FingerScanner at RCVG;4;4;10
Sorting employee;FingerScanner (OPBW);functional;Scanning;Sorting employee scans stickers with FingerScanner at OPBW;4;4;10
VK (InputCart);Arrival of VKs from auction;functional;Physical requirement;Truck with VKs must be available at the auction to send to magazine ;3;2;6
Arrival of VKs from auction;VK (InputCart);functional;Movement;VKs must be physically transfered from the auction via trucks to the magazine;3;2;6
Sorting employee;Arrival of VKs from auction;functional;Physical requirement;Operator is required to unload the VK's;3;3;7.5
Arrival of VKs from auction;Sorting employee;functional;Manual handling;Operator unloads the VK's;3;3;7.5
RCVG (Input Positions);Arrival of VKs from auction;functional;Location;VKs need free receiving positions to be handled;1;1;2.5
Arrival of VKs from auction;RCVG (Input Positions);functional;Use of space;Allocation of VKs at the location resulting in the use of available space for the task;1;1;2.5
Label Printer (RCVG);Print WMS sticker;functional;Physical requirement;Printer needs to be located at RCVG in order for the process to occur;4;4;10
Print WMS sticker;Label Printer (RCVG);functional;Printing, Data Transfer;Printer prints the sticker;4;4;10
VK (InputCart);Scan WMS sticker;functional;Physical requirement;The VK must be present at the receiving area to be assigned a sticker;4;4;10
Scan WMS sticker;RCVG (Input Positions);functional;Use of space;Check-in is done at the receiving position;1;1;2.5
FingerScanner (RCVG);Scan WMS sticker;functional;Physical requirement;Scanner is required to read the VK sticker;4;4;10
Scan WMS sticker;FingerScanner (RCVG);functional;Scanning;Scanner reads the VK sticker;4;4;10
Label Printer (RCVG);Print OK/BK sticker;functional;Physical requirement;Printer is required to prints the sticker for incomming flowers;4;4;10
Print OK/BK sticker;Label Printer (RCVG);functional;Printing, Data Transfer;Printer prints the sticker for incomming flowers;4;4;10
VK (InputCart);Distribute OK/BK sticker and LE;functional;Physical requirement;LEs are physically taken from the VK;3;3;7.5
Distribute OK/BK sticker and LE;LE (Logistical Units BK/BG/OK/KoV);functional;Movement;LEs are being moved by the operator;3;3;7.5
OK (StorageCart);Distribute OK/BK sticker and LE;functional;Physical requirement;LEs are physically placed into an OK (The OK must be availbale to allocate LE's on it );2;2;5
Distribute OK/BK sticker and LE;Sorting employee;functional;Manual handling;Operator performs physical LE transfer;3;3;7.5
Sorting employee;Distribute OK/BK sticker and LE;functional;Physical requirement;Operator is required to perform physical LE transfer;3;3;7.5
OK (StorageCart);Move OKs to OPBW;functional;Physical requirement;The OK must be availbale use them as movable storage  units;2;2;5
Move OKs to OPBW;OK (StorageCart);functional;Movement;The OK must be moved physically to OPBW positions;2;2;5
Sorting employee;Move OKs to OPBW;functional;Physical requirement;Operator is required to move OK to OPBW positions;2;2;5
Move OKs to OPBW;Sorting employee;functional;Manual handling;Operator moves OK to OPBW positions;2;2;5
OPBW Sorting Positions;Move OKs to OPBW;functional;Use of space;OKs must be placed at OPBW for sorting to begin;1;1;2.5
KK (OutputCart);Move first KK from queue to OPBW;functional;Physical requirement;The KK must be availble to allocate products on them at OPBW sorting positions;3;3;7.5
Move first KK from queue to OPBW;KK (OutputCart);functional;Movement;The KK is moved from OPBW queue to OPBW sorting position ;3;3;7.5
OPBW Sorting Positions;Move first KK from queue to OPBW;functional;Location;The OPBW Sorting Position must be present as sperate space for the processes;1;1;2.5
Move first KK from queue to OPBW;OPBW Sorting Positions;functional;Use of space;KK are moved and placed at OPBW Sorting Position for sorting to begin;1;1;2.5
Lowpads (robots);Move first KK from queue to OPBW;functional;Physical requirement;Lowpad must be available to  transports first KK atOPBW queue to OPBW Sorting Station;4;4;10
Move first KK from queue to OPBW;Lowpads (robots);functional;Data Transfer, Movement;Command is sent to lowpad to complete a task, The robot is put into motion  - Lowpad rearenger KK position in OPBW queue;4;4;10
